Tribute To Troy
84
76.25
69


F  00.00 2.00
Ab 02.00 1.00
Eb 03.00 1.00
F  04.00 2.00
Ab 06.00 1.00
Eb 07.00 1.00
F  08.00 2.25

F  12.00 0.50
F  12.50 0.25
F  12.75 0.25
F  13.00 0.25
F  13.25 0.25
F  13.50 0.25
F  13.75 0.25
Ab 14.00 0.50
Ab 14.50 0.50
Eb 15.00 0.75
Eb 15.75 0.25

F  16.00 0.50
F  16.50 0.25
F  16.75 0.25
F  17.00 0.25
F  17.25 0.25
F  17.50 0.25
F  17.75 0.25
Ab 18.00 0.50
Ab 18.50 0.50
Eb 19.00 0.75
G  19.75 0.25
F  20.00 2.25

F  24.00 1.00
F  25.50 0.25
F  25.75 0.25
Ab 26.00 0.50
G  26.50 0.50
Ab 27.00 0.50
F  27.50 0.25
F  27.75 0.25
Ab 28.00 0.50
G  28.50 0.50
Eb 29.00 0.75
Eb 29.75 0.25
F  30.00 2.00

F  34.00 1.00
F  35.50 0.25
F  35.75 0.25
Ab 36.00 0.50
G  36.50 0.50
Ab 37.00 0.75
F  37.75 0.25
Bb 38.00 0.50
Bb 38.50 0.25
Ab 38.75 0.25
F  39.00 0.50
Bb 39.50 0.50
C  40.00 2.00

F  44.00 0.50
F  44.50 0.25
F  44.75 0.25
F  45.00 0.25
F  45.25 0.25
F  45.50 0.25
F  45.75 0.25
Ab 46.00 0.50
Ab 46.50 0.50
Eb 47.00 0.75
G  47.75 0.25
F  48.00 2.25

F  56.00 1.00
F  57.50 0.25
F  57.75 0.25
Bb 58.00 0.50
Bb 58.50 0.50
Ab 59.00 0.75
Gb 59.75 0.25
F  60.00 2.25

F  64.00 1.00
F  65.50 0.25
F  65.75 0.25
Ab 66.00 0.50
Ab 66.50 0.50
F  67.00 0.75
Ab 67.75 0.25
Bb 68.00 2.25
Ab 71.00 1.00
Bb 72.00 4.25




